Product ID,Product Name,Category,Price ($)
1,Wireless Mouse,Electronics,25.99
2,Gaming Keyboard,Electronics,49.99
3,Laptop Backpack,Accessories,39.99
4,Bluetooth Speaker,Electronics,59.99
5,Smartwatch,Wearables,129.99
6,USB-C Charger,Accessories,19.99
7,Noise Cancelling Headphones,Electronics,199.99
8,Portable Hard Drive,Storage,79.99
9,LED Desk Lamp,Home Office,34.99
10,Ergonomic Chair,Furniture,199.99
11,4K Monitor,Electronics,299.99
12,Mechanical Pencil Set,Stationery,12.99
13,External SSD,Storage,129.99
